"GEO_ID","NAME","B25031_001E","B25031_001M","B25031_002E","B25031_002M","B25031_003E","B25031_003M","B25031_004E","B25031_004M","B25031_005E","B25031_005M","B25031_006E","B25031_006M","B25031_007E","B25031_007M",
"Geography","Geographic Area Name","Estimate!!Median gross rent --!!Total:","Margin of Error!!Median gross rent --!!Total:","Estimate!!Median gross rent --!!Total:!!No bedroom","Margin of Error!!Median gross rent --!!Total:!!No bedroom","Estimate!!Median gross rent --!!Total:!!1 bedroom","Margin of Error!!Median gross rent --!!Total:!!1 bedroom","Estimate!!Median gross rent --!!Total:!!2 bedrooms","Margin of Error!!Median gross rent --!!Total:!!2 bedrooms","Estimate!!Median gross rent --!!Total:!!3 bedrooms","Margin of Error!!Median gross rent --!!Total:!!3 bedrooms","Estimate!!Median gross rent --!!Total:!!4 bedrooms","Margin of Error!!Median gross rent --!!Total:!!4 bedrooms","Estimate!!Median gross rent --!!Total:!!5 or more bedrooms","Margin of Error!!Median gross rent --!!Total:!!5 or more bedrooms",
"1600000US0107672","Blue Springs town, Alabama","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"1600000US0107912","Boaz city, Alabama","607","44","-","**","436","160","603","41","851","136","-","**","-","**",
"1600000US0108104","Boligee town, Alabama","427","150","-","**","333","248","405","132","-","**","-","**","-","**",
"1600000US0108248","Bon Air town, Alabama","575","125","-","**","-","**","-","**","-","**","-","**","-","**",
"1600000US0108272","Bon Secour CDP, Alabama","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"1600000US0108680","Boykin CDP, Alabama","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"1600000US0109016","Brantley town, Alabama","364","40","-","**","369","47","319","135","625","502","-","**","-","**",
"1600000US0109064","Brantleyville CDP, Alabama","1097","40","-","**","-","**","1108","53","1106","31","-","**","-","**",
"1600000US0109136","Brent city, Alabama","471","262","-","**","437","38","-","**","829","55","179","138","-","**",
"1600000US0109208","Brewton city, Alabama","596","126","-","**","525","15","567","58","915","58","-","**","-","**",
"1600000US0109328","Bridgeport city, Alabama","386","147","-","**","299","128","758","525","-","**","-","**","-","**",
"1600000US0109400","Brighton city, Alabama","711","185","-","**","629","64","701","262","-","**","-","**","-","**",
"1600000US0109424","Brilliant town, Alabama","406","120","-","**","295","187","372","87","639","61","-","**","-","**",
"1600000US0109457","Bristow Cove CDP, Alabama","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
