State,Reviewing and approving authorities for projects not requiring rezoning,Reviewing and approving authorities for rezoning,Allows Accessory Dwelling Units,Median height restriction (feet),Modal height restriction (feet),Median parking spaces required,Modal parking spaces required,Proportion of residential districts (including mixed use) in municipality that permit multi-family housing,Explicit growth controls index,Open space requirements index ,Minimum lot size index,Maximum permitted density index,Inclusionary zoning programmes index,Maximum height index,Zoning Restrictiveness Index,Owner-occupied housing units with a mortgage,Mortgage Value Median (dollars),Only Second mortgage,Only Home equity loan,Both second mortgage and home equity loan,No second mortgage and no home equity loan,Home equity loan without a primary mortgage,Median household income (dollars),Median Monthly Household Costs (dollars),Median Real Estate Taxes (dollars),Median Gross Rent Total,Median Gross Rent Total 1 bedroom,Median Gross Rent Total 2 bedroom,Median Gross Rent Total 3 bedroom,City,lat,lng,population,density,Cluster
FL,2,1,1,10,10,2,2,0.428571429,0,1,1,4,1,10,0.950113038,280,184500,8,1,0,271,0,67213,1378,1180,712,596,724,711,Monticello,30.5423,-83.8722,2589,249.2,7
FL,2,2,1,35,30,2,2,0.5,0,1,3,1,1,35,2.925407491,2510,1194600,11,212,8,2205,74,198354,3797,6817,1601,1288,1817,2083,Naples,26.1504,-81.7936,19315,606.2,1
FL,2,3,0,45,35,2,1,0.318181818,0,0,2,1,1,45,2.173248675,5685,350200,6,618,11,4938,112,92431,1675,2850,1550,1135,1608,1701,New Smyrna Beach,29.0249,-80.9652,30449,310.9,4
FL,3,3,1,47.5,45,1,1,0.444444444,0,0,4,1,1,47.5,3.353492016,5583,319500,119,327,0,5110,27,71912,1746,2373,1444,1282,1644,2327,North Miami,25.9008,-80.1686,59854,2732.1,4
FL,3,3,0,35,30,1,1,0.428571429,0,1,1,1,0,35,2.217050146,4640,284300,126,211,17,4246,40,71019,1693,2146,1488,1280,1700,2112,North Miami Beach,25.9302,-80.1659,43269,3448.7,4
FL,4,3,0,36,36,2,2,0.388888889,0,1,1,2,1,36,2.743210282,6588,335200,92,423,50,5966,57,87105,1843,2957,1504,1263,1584,2130,Oakland Park,26.178,-80.1528,44056,2268.3,4
FL,3,3,1,45,45,1,1,0.428571429,0,1,3,1,1,45,3.476863713,522,183700,21,38,0,456,7,62625,1207,1472,1021,875,1070,964,Okeechobee,27.2413,-80.8298,5319,506.4,3
FL,2,3,1,35,35,2,2,0,0,1,4,1,0,35,2.99781227,1762,260100,18,39,0,1699,6,100712,1429,2813,1453,1407,1500,1569,Orange City,28.9348,-81.2881,13254,654.7,4
FL,3,2,1,35,35,2,1,0.481481481,0,1,3,1,1,35,3.321248647,32960,351800,554,2541,62,29235,568,113662,1959,3197,1509,1286,1598,1786,Orlando,28.4773,-81.337,1882705,1070.2,4
FL,2,3,0,35,35,2,1,0.142857143,2,0,1,1,0,35,1.771906455,921,134500,8,0,0,909,4,60179,1203,1525,792,529,894,946,Palatka,29.6493,-81.6705,10471,410.5,3
FL,2,3,0,25,25,1,1,0.285714286,0,0,1,3,1,25,1.090862781,22115,231200,318,1199,63,20196,339,74095,1355,1636,1345,1093,1232,1488,Palm Bay,27.9631,-80.6593,534348,542.9,7
FL,2,1,0,55,75,1.5,0,0.307692308,0,1,4,2,1,55,2.816901118,9930,463500,122,992,6,8672,138,139634,2436,4761,2053,1852,2012,2651,Palm Beach Gardens,26.8466,-80.1679,59088,388.6,4
FL,1,1,0,35,35,2,1,0.5,0,1,4,1,0,35,2.290740983,16739,279900,224,1359,33,14840,283,84762,1516,2209,1621,1080,1348,1643,Palm Coast,29.5389,-81.2457,91082,368.7,4
FL,2,3,0,75,75,2,1,0,0,1,3,1,1,75,3.081022557,1200,337100,25,71,0,1024,80,87455,1861,2332,1222,335,1227,1707,Palmetto,27.5251,-82.5749,13384,965.8,3
FL,3,3,1,35,35,2,2,0.2,0,1,3,2,1,35,3.131771312,6881,807600,200,695,26,5960,0,207518,3985,10000,2948,2614,2465,2813,Parkland,26.3219,-80.2533,34832,1071.6,1
FL,1,3,0,35,45,2,2,0.428571429,0,1,1,3,0,35,0.735183035,3175,1147300,28,444,41,2618,44,245646,4000,9660,1800,1393,1640,3331,Pinecrest,25.665,-80.3042,18279,947.2,1
FL,2,3,1,35,35,2,2,0.363636364,0,1,4,2,1,35,3.12813125,8334,256300,138,603,0,7568,25,93654,1519,1783,1356,951,1379,1591,Pinellas Park,27.8589,-82.7078,53352,1275.8,4
FL,2,4,1,34,12,2,1,0.105263158,0,1,4,1,1,34,3.628838717,14695,430900,335,1396,49,12563,352,116674,2416,4250,2004,1725,2043,2476,Plantation,26.1259,-80.2617,93130,1653.2,4
FL,1,3,1,35,35,1,1,0.5625,0,1,4,1,1,35,3.077382495,12139,323200,339,923,12,10585,280,87017,1957,2869,1527,1331,1621,1793,Pompano Beach,26.2428,-80.1312,111790,1793.5,4
FL,3,3,1,35,35,2,2,0.5,0,1,1,1,1,35,2.692461527,40773,302900,325,2510,24,37257,657,89820,1736,2990,1684,1313,1476,1735,Port St. Lucie,27.2796,-80.3884,462047,681.8,4
FL,2,3,1,35,35,3,3,0.6,0,1,1,1,1,35,2.296620371,4182,285700,162,149,0,3772,99,74189,1715,2632,1432,1188,1368,1578,Riviera Beach,26.7813,-80.0741,37668,1756.8,4
FL,3,3,0,25,25,2,2,0.666666667,0,1,1,1,1,25,2.692461527,5711,289700,99,605,0,4921,86,90598,1597,2057,1538,1505,1245,1690,Rockledge,28.3203,-80.736,27808,812.2,4
FL,2,3,1,30,35,1.5,1,0.25,0,0,3,1,1,30,2.565449768,3380,380800,76,229,32,2970,73,124461,2028,3029,1674,1340,1565,2667,Safety Harbor,28.008,-82.6964,17087,1339.5,4
FL,2,3,1,35,35,2,2,0.428571429,0,0,1,2,0,35,0.960543801,2070,340600,71,172,20,1796,11,106964,1686,2397,1355,1179,1467,1763,St. Augustine,29.8976,-81.31,97703,593.7,4
FL,3,3,0,35,25,1.2,1,0.222222222,0,1,3,1,1,35,3.476863713,9068,307700,110,312,14,8619,13,88650,1650,2312,1470,729,1189,1642,St. Cloud,28.2363,-81.2779,59851,893.8,4
FL,2,3,0,30,28,1,1,0.3,0,0,3,2,0,30,1.744945988,1324,687300,0,262,0,909,153,181190,2945,6091,1613,1198,2004,2739,St. Pete Beach,27.7235,-82.7387,8905,1617,4
FL,3,2,1,15,10,2,1,0.583333333,0,1,3,1,1,15,3.321248647,41576,308300,853,3946,144,36143,490,102412,1763,2388,1410,1212,1527,1812,St. Petersburg,27.7931,-82.6652,259343,1620.2,4
FL,2,2,1,35,35,2,2,0.692307692,6,1,1,2,1,35,3.194723665,8157,262000,164,407,125,7384,77,90136,1506,1822,1402,1269,1341,1559,Sanford,28.7891,-81.2757,61272,994.9,6
FL,2,3,1,25,25,2,2,0.7,2,1,4,1,1,25,3.939493904,4827,259500,200,166,0,4270,191,81365,1515,1760,1303,735,1233,1507,Sebastian,27.7822,-80.4819,25266,696.9,7
FL,1,2,1,35,35,2,2,0,0,1,4,3,1,35,2.231582628,3029,336000,22,380,13,2594,20,112245,1865,2281,1417,1331,1379,1804,Seminole,27.8435,-82.784,19287,1436.6,4
FL,3,2,0,35,30,2,2,0.444444444,0,1,1,1,0,35,2.06143508,1888,228300,26,166,0,1672,24,68750,1450,1694,1175,1047,1165,1382,South Daytona,29.1657,-81.0055,13132,1369.9,3
FL,1,1,1,45,60,3,3,0.52173913,0,0,1,1,1,45,1.073976294,51691,355900,635,3804,138,46383,731,112669,1894,2964,1422,1204,1503,1561,Tampa,27.9945,-82.4447,2861173,1320.9,2
FL,3,3,0,35,35,2,10,0.285714286,0,0,2,1,0,35,2.09367845,3242,284900,9,262,30,2930,11,111875,1673,2389,1372,1247,1419,1410,Temple Terrace,28.0436,-82.3773,26818,1369.9,0
FL,2,3,1,35,35,2,2,0.631578947,0,1,3,1,1,35,3.081022557,8524,225400,138,567,0,7791,28,81193,1396,1556,1156,980,1069,1514,Titusville,28.5727,-80.8193,48595,642,4
FL,2,3,0,25,30,2,2,0.25,0,0,1,2,0,25,0.960543801,1279,494800,0,160,8,1111,0,150536,2764,5177,1423,1265,1472,4000,Treasure Island,27.774,-82.7663,6590,1646,4
FL,2,3,1,30,35,1,1,0.25,0,1,1,2,0,30,1.476116591,2146,297000,18,118,0,1981,29,84677,1794,3094,1139,1041,1182,1958,Vero Beach,27.6463,-80.393,16531,555,7
FL,2,3,0,30,35,2,1,0.5,0,1,1,1,0,30,1.821208991,904,463000,42,184,0,678,0,135788,2384,4043,2027,1477,2181,1849,West Miami,25.7578,-80.2969,7104,3868.9,4
FL,3,2,0,35,35,3,1,0.230769231,0,0,4,1,1,35,3.19787695,10472,613300,139,1199,39,8685,410,166845,3160,8092,2631,1811,2263,2891,Weston,26.1006,-80.4054,68029,1068,1
FL,3,3,0,30,30,2.6,1,0.384615385,0,0,2,2,1,30,2.22399743,2000,465800,42,81,0,1794,83,131719,2406,2982,1684,1379,1812,2314,Wilton Manors,26.1593,-80.1395,11451,2244.6,4
FL,2,3,1,42.5,55,2,2,0.583333333,0,1,2,2,1,42.5,2.343729064,4909,608600,76,702,25,3955,151,160034,2627,4776,1634,1504,1698,1800,Winter Park,28.5989,-81.3442,29985,1320.9,4
FL,3,3,1,16,12,1,1,0.4,0,0,1,1,0,16,1.701477357,7861,328300,259,763,0,6729,110,99841,1762,2254,1557,1358,1553,1874,Winter Springs,28.6889,-81.2703,38205,992.7,4
GA,2,3,1,35,35,2,2,0.153846154,0,1,4,2,1,35,3.12813125,6096,128500,255,537,0,5165,139,64474,1204,1881,889,709,818,1040,Albany,31.5776,-84.1762,83447,483.3,7
GA,3,3,1,40,25,1,1,0,0,1,1,1,0,40,2.217050146,1026,116500,0,56,0,953,17,70526,1109,1606,806,585,831,859,Americus,32.0736,-84.2248,16020,545,3
GA,2,2,1,50,35,2,1,0.318181818,0,1,4,1,1,50,3.317608584,73662,419500,2046,6898,274,63779,665,140135,2260,3984,1512,1516,1517,1444,Atlanta,33.7628,-84.422,5180179,1412.3,2
GA,2,2,0,25,35,2,1,0.2,0,1,4,1,0,25,2.842197204,1262,220800,0,66,0,1148,48,63700,1337,1244,1443,921,987,1692,Austell,33.8201,-84.6451,8109,525.9,7
GA,3,2,1,30,35,2,2,0.428571429,0,0,4,2,0,30,2.37737317,579,140600,39,17,0,523,0,73322,1150,1624,896,584,794,969,Barnesville,33.0508,-84.1528,6200,394.1,7
GA,2,2,0,60,60,1,1,0.25,0,1,1,2,0,60,1.320501525,1026,125600,0,93,0,922,11,51531,997,1359,838,608,892,891,Brunswick,31.1449,-81.4746,71160,345.8,3
GA,2,2,1,40,75,2,1,0.307692308,0,1,4,3,0,40,2.152012404,2083,261000,28,92,0,1946,17,106902,1517,1828,972,746,924,1199,Carrollton,33.5818,-85.0838,26622,457.1,3
GA,1,3,1,32.5,45,2,2,0.3125,0,1,1,3,0,32.5,0.735183035,3549,287800,15,410,5,3093,26,107717,1710,2518,1096,993,1047,1364,Cartersville,34.1644,-84.8009,23103,312.3,7
GA,4,3,0,20,20,2,2,0.384615385,0,1,1,1,0,20,2.612891302,1079,287000,0,110,0,969,0,103295,1793,1911,1047,969,1023,1617,College Park,33.6363,-84.464,14113,488.1,7
GA,1,4,1,50,100,2,1,0.227272727,0,1,4,1,1,50,3.232997561,24471,189200,744,1146,50,22103,428,85270,1414,1943,1038,829,970,1195,Columbus,32.51,-84.8771,264282,364.8,3
GA,2,3,1,50,35,3,5,0.307692308,0,1,1,1,0,50,1.821208991,1674,245300,25,61,83,1482,23,100342,1554,2258,1153,1013,1115,1274,Covington,33.6049,-83.8463,14190,348.9,0
GA,2,3,0,29.5,35,2,2,0.2,0,1,3,2,0,29.5,2.260518777,2044,212100,10,85,0,1949,0,72223,1328,1881,1245,539,1202,1575,Dallas,33.9152,-84.8416,14126,684.3,7
GA,2,3,1,12,12,1,1,0.615384615,0,1,1,1,0,12,1.821208991,4169,669700,73,751,7,3302,36,210737,3189,9116,1611,1147,1735,2500,Decatur,33.7711,-84.2963,24421,2051.2,1
GA,2,3,0,15,15,2,1,0.4,0,1,4,1,0,15,2.99781227,4517,347600,65,319,21,4092,20,130264,1953,3834,1675,1529,1658,1762,Duluth,34.0053,-84.1492,31742,1208.9,4
GA,2,2,0,35,35,1,1,0.333333333,0,1,1,1,0,35,1.665593925,5203,229700,88,210,0,4869,36,85203,1448,1461,1241,1054,1211,1442,East Point,33.6696,-84.4701,38113,1001.8,3
GA,2,3,0,48,48,2,2,0.444444444,0,1,4,2,0,48,2.65271987,2761,220400,13,194,118,2397,39,89394,1449,1984,1428,1315,1305,1617,Fairburn,33.5496,-84.5914,16469,376.1,3
GA,2,2,0,30,30,1,2,0.272727273,0,1,4,1,0,30,2.842197204,3720,303600,87,100,0,3533,0,103900,1855,2757,1418,1182,1337,1498,Fayetteville,33.4501,-84.471,19010,566.2,4
GA,2,4,0,35,35,2,2,0.142857143,0,0,4,1,0,35,2.637854547,749,105200,0,168,0,575,6,64934,929,1188,631,494,625,731,Fitzgerald,31.7134,-83.2514,8972,385.9,3
GA,2,3,1,30,30,1,1,0.375,0,1,1,2,0,30,1.476116591,2290,205100,4,121,0,2136,29,87915,1421,2181,1026,664,978,1230,Griffin,33.2418,-84.2748,23485,645.6,7
GA,3,2,0,35,35,2,1,0.272727273,0,1,1,3,0,35,1.37125028,3964,156600,120,52,0,3783,9,77363,1231,1895,1147,825,1064,1208,Hinesville,31.8248,-81.6137,34732,732.7,7
GA,2,3,1,15,15,2,2,0.391304348,0,1,4,1,0,15,2.99781227,3856,389400,0,88,0,3742,26,124734,2088,3306,1692,1409,1454,2192,Holly Springs,34.1681,-84.4847,16675,888.8,4
GA,2,2,0,35,35,0.75,0.3,0.25,0,0,4,1,0,35,2.326624415,1404,147200,40,132,0,1197,35,83365,1190,1490,762,444,700,792,Jesup,31.5992,-81.8895,9820,229.2,3
GA,3,2,0,35,35,2,1,0.294117647,0,1,4,1,0,35,3.23803836,175,130900,2,9,0,147,17,75625,1186,1335,988,514,1004,1076,Jonesboro,33.5211,-84.3548,4415,569.8,3
GA,2,3,0,35,35,2,1,0.333333333,0,1,4,1,0,35,2.99781227,2918,165600,35,49,13,2814,7,90993,1265,1881,962,756,971,991,LaGrange,33.0274,-85.0384,31173,284.8,3
GA,2,3,0,40,35,2,2,0.466666667,0,1,4,1,0,40,2.99781227,7877,388900,218,558,0,7055,46,139317,2050,2670,1372,1198,1418,1683,Marietta,33.9533,-84.5422,61387,1009.5,4
GA,2,3,0,20,20,2,1,0.333333333,0,1,4,2,1,20,3.12813125,1416,144100,0,27,0,1379,10,85962,1149,1529,716,513,767,759,Moultrie,31.1591,-83.7708,14533,336.4,7
GA,2,3,1,35,35,2,1,0.5,0,1,3,1,1,35,3.081022557,6911,290800,33,402,55,6380,41,112853,1728,2548,1304,995,1233,1703,Newnan,33.3767,-84.7761,42689,846.4,4
GA,2,2,1,35,35,2,2,0.178571429,0,1,3,1,0,35,2.449996111,7415,445500,176,796,0,6412,31,151791,2331,4418,1841,1421,1726,1948,Peachtree City,33.3942,-84.571,38414,590.1,4
GA,2,2,0,48,60,2,1,0.3,0,0,4,2,0,48,1.981532015,4076,195500,0,242,0,3824,10,82959,1443,2045,1009,803,924,1349,Perry,32.472,-83.7283,21279,303.2,3
GA,2,2,0,40,40,1.5,1,0.5,0,0,2,1,0,40,1.542222229,1892,205100,0,35,0,1857,0,95826,1426,1994,1465,1159,1672,1546,Port Wentworth,32.1951,-81.1991,11103,266.7,3
GA,2,3,0,23,23,2,2,0.083333333,0,1,1,4,0,23,0.78593179,539,169900,0,0,0,539,0,66850,1517,1216,835,510,662,905,Rockmart,34.0103,-85.044,5113,343.8,7
GA,1,3,1,25,10,2,2,0.2,0,1,4,1,0,25,2.601971115,503,58000,0,6,0,497,0,70995,1334,749,922,671,875,1084,Rossville,34.9747,-85.2898,3982,851.3,7
GA,2,2,0,35,35,1,1,0.6,0,0,1,1,0,35,1.150021136,2865,242800,84,167,0,2595,19,96250,1514,2832,1178,1089,887,1446,St. Marys,30.7567,-81.5722,18507,316.8,3
GA,3,3,0,40,30,4.65,1,0.307692308,0,1,1,3,0,40,1.526865346,4768,343400,97,209,0,4424,38,114270,2122,3810,1497,863,1172,1675,Sugar Hill,34.108,-84.0558,24947,864,4
GA,3,3,1,22.5,10,2,2,0.25,0,1,2,3,0,22.5,1.919066439,3969,369100,56,598,0,3315,0,119364,2087,4250,1826,1389,1923,2191,Suwanee,34.0508,-84.0686,21238,746.9,4
GA,3,3,1,25,25,2,2,0.357142857,0,1,3,3,0,25,2.311267532,3552,209000,61,73,0,3418,0,76131,1376,1822,1186,979,1158,1403,Union City,33.5942,-84.5629,26869,527.3,7
GA,1,2,1,30,30,2.5,2,0.266666667,0,1,1,5,0,30,-0.110616832,3130,214700,8,95,0,3027,0,94831,1517,2096,1296,1178,1061,1434,Villa Rica,33.7294,-84.9177,17354,457.5,7
GA,2,3,0,50,70,1,2,0.25,0,1,3,1,0,50,2.605611177,10618,176100,323,482,0,9605,208,101884,1346,1635,1094,889,1034,1190,Warner Robins,32.5961,-83.6527,146790,819.4,3
GA,2,2,1,66.5,85,2,2,0.470588235,0,1,4,1,1,66.5,3.317608584,7433,371000,36,371,86,6790,150,126081,1904,3083,1656,1446,1636,1815,Woodstock,34.1026,-84.5091,35171,1050.9,4
ID,2,3,1,35,35,2,2,0.75,0,1,1,1,0,35,1.821208991,6420,253000,90,579,0,5733,18,94458,1490,2194,890,653,927,1108,Lewiston,46.3934,-116.9933,34270,763.8,7
ID,2,2,1,35,20,4,10,0.8,0,1,1,1,1,35,2.141005305,24155,433000,615,2339,71,20920,210,115430,1822,2416,1548,1254,1343,1778,Meridian,43.6116,-116.3977,119872,1271.9,0
ID,2,3,1,25,25,2,2,0.444444444,0,1,4,2,0,25,2.65271987,2664,328100,10,414,0,2223,17,99500,1656,2482,868,702,848,1288,Moscow,46.7308,-116.9986,25616,1431.5,7
ID,2,2,1,12,12,2,2,0,0,1,1,1,0,12,1.665593925,2692,241500,91,78,0,2478,45,67537,1270,1649,997,689,949,1222,Mountain Home,43.1324,-115.697,16026,904.4,7
ID,3,2,1,30,30,2,1,0.571428571,0,0,2,1,1,30,2.413474764,18622,299800,889,1376,57,16141,159,82179,1350,1827,1201,728,1101,1378,Nampa,43.5844,-116.5638,193935,1139.2,4
ID,2,2,0,25,25,1.5,2,0.5,0,0,1,3,0,25,0.459836335,401,219300,2,6,5,383,5,76776,1382,1924,930,642,898,1093,Orofino,46.4866,-116.2572,3251,508.5,7
ID,2,2,0,20,20,1.5,2,0.5,0,0,4,3,1,20,2.111850994,1094,170600,2,31,0,1041,20,62727,1039,1239,792,655,811,1012,Payette,44.0788,-116.9255,8182,772.2,7
ID,2,2,1,35,35,1,1,0.555555556,0,1,1,1,0,35,1.665593925,8558,221200,434,963,32,7015,114,84887,1260,1869,790,603,790,1006,Pocatello,42.8724,-112.4647,74284,654.8,3
ID,2,2,1,35,35,2,2,0.428571429,0,1,1,1,1,35,2.141005305,7225,385800,50,594,0,6539,42,93675,1522,1928,1186,1124,999,1314,Post Falls,47.7213,-116.9384,40002,955,4
ID,2,2,1,15,15,1.4,1.4,0.428571429,0,1,1,1,1,15,2.141005305,1197,419400,30,48,0,1107,12,88867,1543,2292,1039,712,957,1346,Sandpoint,48.2822,-116.5614,8899,803.3,7
IL,0,3,0,35,35,1.5,1,0.4,0,1,1,1,0,35,1.02952668,604,94000,0,1,0,590,13,72727,910,1750,764,654,634,818,Abingdon,40.8038,-90.4009,3399,921.2,3
IL,3,3,0,30,30,2,2,0.363636364,0,1,3,1,0,30,3.001452333,28221,248300,399,1812,3,25442,565,115930,1916,6369,1462,1101,1450,1696,Aurora,41.7638,-88.2902,181405,1555.1,4
IL,2,2,0,35,35,1,1,0.333333333,0,1,2,1,0,35,2.057795018,4382,152100,34,225,125,3927,71,76069,1363,3353,914,531,942,1321,Belvidere,42.2543,-88.8649,25389,807.4,3
IL,2,3,0,25,25,2,2,0.533333333,0,1,2,1,0,25,2.213410084,12977,199500,260,911,25,11627,154,108250,1572,4546,959,722,1024,1341,Bloomington,40.4757,-88.9703,136524,1122,7
IL,1,2,0,25,25,1.5,1,0.5,0,0,1,1,0,25,0.75417998,5061,136000,101,214,0,4746,0,77093,1517,4790,1083,830,1047,1401,Calumet City,41.6134,-87.5505,35708,1915.1,3
IL,2,3,0,35,35,2,4,0,0,0,1,2,0,35,0.960543801,1133,135800,106,34,6,987,0,97364,1341,3547,754,639,847,1010,Carbondale,37.7221,-89.2237,22039,488.4,3
IL,2,3,1,40,55,1.75,1,0.733333333,0,1,2,1,1,40,2.688821464,335653,331600,6357,22022,874,302460,3940,119454,2249,5116,1314,1218,1326,1485,Chicago,41.8375,-87.6866,8497759,4614.5,5
IL,2,1,0,30,30,1,1,0.428571429,0,0,1,5,0,30,-0.385963532,279,83500,0,13,0,266,0,53371,961,908,676,401,850,868,Christopher,37.9707,-89.0531,2507,596.9,3
IL,2,3,0,25,25,2,2,0.1,0,0,3,3,0,25,1.399853587,1099,326500,15,191,0,883,10,94539,2057,6718,1150,1086,1166,2111,Countryside,41.7741,-87.8752,6322,848.2,7
IL,2,3,0,35,35,2,2,0.384615385,0,0,4,1,0,35,2.482239481,9375,103600,202,636,5,8340,192,74975,1112,2353,770,629,809,949,Decatur,39.8557,-88.9342,86231,634,3
IL,2,3,1,45,25,1,1,0.222222222,0,1,1,3,0,45,1.131024191,2345,118900,9,124,30,2174,8,72847,1152,2548,783,533,789,1054,Dixon,41.8439,-89.4794,15573,709.3,3
IL,3,3,0,52.5,70,2,2,0.25,0,0,1,2,0,52.5,1.356384957,4737,164200,72,439,19,4095,112,93926,1459,3979,843,690,923,1269,East Peoria,40.6736,-89.5419,22552,421,3
IL,2,3,0,35,35,2,2,0.166666667,0,0,1,1,0,35,1.305636202,752,171100,13,78,0,661,0,86439,1289,4147,844,639,883,1250,Eureka,40.7148,-89.2775,5504,777,3
IL,0,2,0,35,35,6.55,2,0.142857143,0,0,1,3,0,35,-0.331845976,712,113300,0,108,0,581,23,65471,1000,1816,714,574,724,862,Flora,38.6688,-88.4758,4701,387,0
IL,3,2,0,40,12,1.25,1,0.25,0,0,3,2,0,40,1.985172077,3782,91100,77,357,0,3319,29,74239,987,1853,679,508,772,859,Galesburg,40.9506,-90.3763,29923,650.5,3
IL,2,3,0,25,12,5,2,0,0,0,4,1,0,25,2.482239481,1248,171400,0,112,0,1116,20,96467,1433,2879,919,805,807,1084,Geneseo,41.4509,-90.154,6421,526.9,0
IL,2,3,1,35,35,2,1,0.153846154,0,1,1,1,0,35,1.821208991,4734,398000,40,590,0,3974,130,174362,2638,9666,1704,1545,1674,2100,Geneva,41.8833,-88.3242,21390,828.4,4
IL,2,3,1,48,35,1,1,0.461538462,0,1,4,1,1,48,3.473223651,660,123300,16,35,0,609,0,91048,932,2179,672,680,721,434,Greenville,38.8867,-89.3894,7121,435.8,3
IL,2,3,0,11,10,4,2,0,0,1,3,2,0,11,2.260518777,575,76500,0,11,0,564,0,47138,863,1441,834,502,820,693,Hoopeston,40.4608,-87.6635,4940,517.5,7
IL,2,3,1,35,35,2.165,3,0.4375,0,1,4,2,1,35,3.12813125,3591,948100,23,613,0,2874,81,250000,4000,10000,1948,1369,1878,3013,Lake Forest,42.238,-87.8596,19436,436.3,1
IL,2,3,0,50,35,3.5,2,0.222222222,0,0,1,3,0,50,0.615451401,5509,158500,92,328,0,5050,39,82387,1531,4657,1212,899,1148,1750,Lansing,41.5648,-87.5462,28713,1485.6,3
IL,2,3,0,32.5,30,2,1,0.642857143,0,1,3,1,0,32.5,2.605611177,1509,108200,31,116,0,1332,30,79968,1195,2778,674,580,769,1116,Macomb,40.4709,-90.6807,15207,553.9,3
IL,2,2,1,50,50,2,1,0.333333333,0,1,3,1,0,50,2.449996111,1168,189100,7,56,47,1058,0,114643,1509,4553,992,669,1195,878,Marengo,42.2299,-88.6163,7471,324,3
IL,2,3,0,35,35,1.25,1,0.375,0,0,3,1,0,35,2.090038388,1427,201200,30,81,48,1233,35,121705,1626,4029,1154,677,1109,1491,Mascoutah,38.5192,-89.8045,8762,350.9,3
IL,2,3,0,19.5,12,1.5,1,0.625,0,0,4,1,0,19.5,2.482239481,7099,140000,189,610,0,6150,150,94993,1259,3401,883,800,902,1235,Moline,41.4821,-90.492,42452,978.4,7
IL,2,3,0,36,45,2,2,0.25,0,1,1,2,0,36,1.476116591,605,123800,17,7,0,571,10,95880,1148,2460,986,733,918,875,Morrison,41.8076,-89.9616,3925,601.9,3
IL,1,2,0,37.5,35,1,1,0.166666667,0,0,1,2,0,37.5,0.40908758,949,89800,3,26,0,897,23,74471,1224,1783,688,343,814,1363,Mount Carmel,38.4187,-87.7695,6978,560.2,3
IL,2,2,0,35,35,1,1,0.235294118,0,1,2,2,0,35,1.712702618,5482,229700,96,440,0,4882,64,106310,1925,6723,1262,1021,1324,1761,Oak Forest,41.6054,-87.7527,27199,1743.1,4
IL,2,2,0,27.5,30,1.25,1,0.111111111,0,1,3,2,0,27.5,2.104903711,6677,275700,84,413,19,6097,64,131492,1997,5930,1264,938,1129,1499,O'Fallon,38.5974,-89.9148,32104,786.7,7
IL,2,3,0,35,35,2,2,0.555555556,0,0,1,1,1,35,1.781047582,7480,579000,82,961,171,6118,148,196250,3185,10000,1487,1139,1558,1968,Park Ridge,42.0125,-87.8436,39368,2144.6,4
IL,2,4,0,12,10,1.5,1,0.210526316,0,1,3,3,0,12,2.071041443,1795,203700,47,125,0,1623,0,107411,1809,6083,1555,905,1083,1780,Plano,41.6757,-88.5293,11113,477.9,7
IL,3,2,0,35,30,2,3,0,0,1,2,1,0,35,2.453636173,2064,349500,45,192,0,1783,44,118565,2334,8112,1313,1186,1328,1904,Prospect Heights,42.1039,-87.9267,15861,1438.7,4
IL,2,3,0,50,50,2,2,0.666666667,0,0,3,1,0,50,2.090038388,6271,141800,51,508,6,5662,44,84234,1104,2301,776,632,875,929,Quincy,39.9336,-91.3799,39441,966,3
IL,2,3,0,28,30,1,1,0.428571429,0,1,4,1,0,28,2.99781227,1118,140500,0,76,0,1042,0,89370,1236,3383,855,557,879,1375,Rochelle,41.9197,-89.0629,9417,266.3,7
IL,2,3,0,30,75,1,1,0.2,0,0,1,2,0,30,0.960543801,1613,79200,20,144,0,1415,34,62019,975,2377,756,579,783,1007,Rock Falls,41.7724,-89.6928,8904,863.2,3
IL,3,3,0,35,35,2,1,0.384615385,0,1,1,3,0,35,1.526865346,5907,118100,175,323,5,5296,108,79338,1210,2896,800,587,860,1157,Rock Island,41.4699,-90.5827,37264,852.8,7
IL,2,3,0,20,20,2,2,0.2,0,0,3,3,0,20,1.399853587,4354,286000,19,334,0,3941,60,113540,2032,6991,1476,1236,1478,1835,Rolling Meadows,42.0747,-88.0252,24054,1653.8,4
IL,2,3,0,40,40,1,1,0.321428571,0,0,3,2,1,40,2.220357368,6366,340000,67,826,15,5360,98,142574,2344,7706,1678,1220,1735,2215,St. Charles,41.9193,-88.3109,32776,878.3,4
IL,2,3,0,25,22,2,1,0.3,0,1,2,1,0,25,2.213410084,3647,312000,30,336,0,3257,24,134071,2275,8506,1345,1088,1329,1845,West Chicago,41.896,-88.2253,25632,643,4
IL,3,3,0,40,35,2,1,0.545454545,0,0,1,1,0,40,1.701477357,9783,446500,112,1182,19,8208,262,154354,2639,9235,1673,1577,1660,2143,Wheaton,41.8561,-88.1085,53673,1831.1,4
IL,3,3,1,30.5,25,7,1,0.076923077,0,1,4,1,1,30.5,3.869064806,4630,227800,29,407,0,4142,52,106863,1791,6281,1145,910,1206,1600,Woodstock,42.3096,-88.4353,26084,763.7,0
