"lhs","Var.2","rhs","support","confidence","coverage","lift","count"
"{inclusionary, planning_rz}","=>","{adu}",0.200985968904058,0.730027548209366,0.275312855517634,1.58312717485863,530
"{inclusionary, planning_rz}","=>","{open_space}",0.231323473644293,0.840220385674931,0.275312855517634,1.24335642930684,610
"{inclusionary, council_rz}","=>","{open_space}",0.21425862722791,0.838278931750742,0.255593477436481,1.24048346971196,565
"{inclusionary, planning_nz}","=>","{open_space}",0.225635191505499,0.838028169014085,0.269245354569587,1.24011239152084,595
"{max_den_cat5, adu}","=>","{open_space}",0.202882062950322,0.819295558958652,0.247629882442169,1.21239191300447,535
"{council_nz, planning_nz, council_rz, adu}","=>","{open_space}",0.280242700037922,0.807650273224044,0.346985210466439,1.19515924270023,739
"{council_nz, council_rz, adu}","=>","{open_space}",0.292756920743269,0.805845511482255,0.363291619264316,1.19248855992071,772
"{council_nz, planning_nz, adu}","=>","{open_space}",0.287447857413728,0.805526036131775,0.356844899507016,1.19201580094247,758
"{council_nz, adu}","=>","{open_space}",0.299962078119075,0.803861788617886,0.373151308304892,1.18955305083354,791
"{planning_nz, council_rz, adu}","=>","{open_space}",0.318164580963216,0.803639846743295,0.395904436860068,1.18922462169589,839
"{council_rz, planning_rz, adu}","=>","{open_space}",0.322715206674251,0.801318267419962,0.402730375426621,1.18578915330328,851
"{council_rz, adu}","=>","{open_space}",0.332574895714827,0.800913242009132,0.415244596131968,1.18518979751856,877
"{planning_nz, planning_rz, adu}","=>","{open_space}",0.346605991657186,0.799650043744532,0.433447098976109,1.18332051927852,914
"{planning_rz, adu}","=>","{open_space}",0.355707243079257,0.798297872340425,0.445582100872203,1.18131957876639,938
"{planning_nz, adu}","=>","{open_space}",0.34963974213121,0.798268398268398,0.437997724687144,1.18127596309414,922
"{zoning_rz, adu}","=>","{open_space}",0.240803943875616,0.794743429286608,0.302995828593098,1.17605972111604,635
"{open_space, half_acre_less, planning_nz, council_rz, planning_rz}","=>","{council_nz}",0.206295032233599,0.912751677852349,0.226014410314752,1.13213836994198,544
"{open_space, half_acre_less, planning_nz, council_rz}","=>","{council_nz}",0.208570345089116,0.910596026490066,0.229048160788775,1.12946459165301,550
"{open_space, half_acre_less, council_rz, planning_rz}","=>","{council_nz}",0.211224876753887,0.910130718954248,0.232081911262799,1.128887443971,557
"{max_den_cat5, council_rz, planning_rz, adu}","=>","{council_nz}",0.205536594615093,0.90787269681742,0.226393629124005,1.12608668932622,542
"{max_den_cat5, council_nz, planning_nz, council_rz, planning_rz}","=>","{open_space}",0.283276450511945,0.759146341463415,0.373151308304892,1.12338322246859,747
"{max_den_cat5, council_nz, planning_nz, council_rz}","=>","{open_space}",0.285551763367463,0.759072580645161,0.376185058778915,1.12327407135875,753
"{max_den_cat5, council_rz, adu}","=>","{council_nz}",0.210845657944634,0.905537459283388,0.232840348881305,1.12319015998603,556
"{open_space, half_acre_less, council_rz}","=>","{council_nz}",0.215396283655669,0.90302066772655,0.238528631020099,1.12006843875584,568
"{max_den_cat5, council_nz, planning_nz, planning_rz}","=>","{open_space}",0.285930982176716,0.756268806419258,0.37808115282518,1.11912505192345,754
"{max_den_cat5, council_nz, planning_nz}","=>","{open_space}",0.288206295032234,0.756218905472637,0.381114903299204,1.11905120860345,760
"{open_space, max_den_cat5, planning_nz, council_rz, planning_rz}","=>","{council_nz}",0.283276450511945,0.902173913043478,0.313993174061433,1.11901816025195,747
"{max_den_cat5, council_nz, council_rz, planning_rz}","=>","{open_space}",0.289723170269245,0.754940711462451,0.383769434963974,1.11715973968938,764
"{open_space, max_den_cat5, council_rz, planning_rz}","=>","{council_nz}",0.289723170269245,0.899882214369847,0.321956769055745,1.11617563466288,764
"{open_space, max_den_cat5, planning_nz, council_rz}","=>","{council_nz}",0.285551763367463,0.899641577060932,0.31740614334471,1.11587715837708,753
"{open_space, max_den_cat5, council_rz}","=>","{council_nz}",0.295411452408039,0.897465437788018,0.329161926431551,1.11317796775494,779
"{max_den_cat5, council_nz, planning_rz}","=>","{open_space}",0.292377701934016,0.75219512195122,0.388699279484262,1.11309682187731,771
"{max_den_cat5, planning_nz, council_rz, planning_rz}","=>","{open_space}",0.313993174061433,0.752043596730245,0.417519908987486,1.11287259516142,828
"{max_den_cat5, planning_nz, council_rz}","=>","{open_space}",0.31740614334471,0.752021563342318,0.422070534698521,1.11283999019848,837
"{half_acre_less, planning_nz, council_rz, planning_rz}","=>","{council_nz}",0.328403488813045,0.89648033126294,0.366325369738339,1.11195608350911,866
"{max_den_cat5, planning_nz, planning_rz}","=>","{open_space}",0.331058020477816,0.75,0.441410693970421,1.10984848484848,873
"{max_den_cat5, council_nz, council_rz}","=>","{open_space}",0.295411452408039,0.749759384023099,0.394008342813804,1.10949242181196,779
"{max_den_cat5, planning_nz, council_rz, planning_rz}","=>","{council_nz}",0.373151308304892,0.893732970027248,0.417519908987486,1.10854837345336,984
"{max_den_cat5, planning_nz}","=>","{open_space}",0.334470989761092,0.748091603053435,0.447098976109215,1.10702444290231,882
"{half_acre_less, planning_nz, council_rz}","=>","{council_nz}",0.333712552142586,0.892494929006085,0.373909745923398,1.10701276001366,880
"{max_den_cat5, council_nz}","=>","{open_space}",0.29806598407281,0.747148288973384,0.398938187334092,1.10562852863233,786
